instance_id,human_label
fmtlib__fmt-3750,"DP, IS"
nushell__nushell-12901,"FP, SC"
preactjs__preact-4152,DP
prometheus__prometheus-9248,"SC, DP, FP"
caddyserver__caddy-6051,DP
gohugoio__hugo-12343,UL
redis__redis-13338,DP
babel__babel-15445,No Misalignment
faker-ruby__faker-2970,IS
jqlang__jq-2235,No Misalignment
jqlang__jq-2839,"DP, IS"
php-cs-fixer__php-cs-fixer-7663,IS
redis__redis-9733,DP
rubocop__rubocop-13424,No Misalignment
sharkdp__bat-2201,"DP, IS"
tokio-rs__tokio-4384,No Misalignment
astral-sh__ruff-15394,DP
google__gson-2479,"IS, UL"
jekyll__jekyll-8771,DP
jordansissel__fpm-1829,SC
jqlang__jq-2681,SC
laravel__framework-48573,IS
preactjs__preact-2927,DP
redis__redis-12272,DP
rubocop__rubocop-13627,DP
facebook__docusaurus-8927,UL
facebook__docusaurus-9183,IS
gin-gonic__gin-1957,UL
hashicorp__terraform-35543,UL
php-cs-fixer__php-cs-fixer-7635,IS
redis__redis-11631,IS
rubocop__rubocop-13431,No Misalignment
rubocop__rubocop-13560,UL
laravel__framework-52684,No Misalignment
projectlombok__lombok-3486,No Misalignment
redis__redis-10095,No Misalignment
valkey-io__valkey-1499,DP
caddyserver__caddy-5761,"SC, DP"
facebook__docusaurus-10130,No Misalignment
gin-gonic__gin-3227,"SC, DP"
prometheus__prometheus-15142,No Misalignment
apache__druid-16875,No Misalignment
fluent__fluentd-3466,DP
fmtlib__fmt-3863,No Misalignment
laravel__framework-46234,DP
nushell__nushell-12950,No Misalignment
rubocop__rubocop-13579,SC
immutable-js__immutable-js-2005,SC
javaparser__javaparser-4538,No Misalignment
jqlang__jq-2750,SC
laravel__framework-52680,No Misalignment
micropython__micropython-12158,No Misalignment
phpoffice__phpspreadsheet-3570,SC
redis__redis-11510,No Misalignment
valkey-io__valkey-1842,No Misalignment
vuejs__core-11589,No Misalignment
apache__druid-14092,No Misalignment
burntsushi__ripgrep-2209,SC
phpoffice__phpspreadsheet-3469,UL
preactjs__preact-4182,DP
preactjs__preact-4245,No Misalignment
tokio-rs__tokio-6752,No Misalignment
vuejs__core-11899,No Misalignment
astral-sh__ruff-15309,DP
jqlang__jq-2650,SC
preactjs__preact-3062,No Misalignment
apache__lucene-13301,SC
fluent__fluentd-3640,DP
jekyll__jekyll-8761,No Misalignment
phpoffice__phpspreadsheet-4313,IS
preactjs__preact-3562,DP
preactjs__preact-3763,SC
projectlombok__lombok-3571,SC
prometheus__prometheus-10633,No Misalignment
tokio-rs__axum-691,SC
fastlane__fastlane-19207,DP
redis__redis-11279,Others
axios__axios-6539,No Misalignment
fmtlib__fmt-2310,No Misalignment
uutils__coreutils-6377,UL
caddyserver__caddy-6288,IS
fluent__fluentd-3641,UL
fmtlib__fmt-3158,No Misalignment
javaparser__javaparser-4561,No Misalignment
laravel__framework-53206,No Misalignment
nushell__nushell-13246,No Misalignment
briannesbitt__carbon-3005,SC
faker-ruby__faker-2705,No Misalignment
fmtlib__fmt-2317,No Misalignment
phpoffice__phpspreadsheet-3940,SC
preactjs__preact-3567,No Misalignment
projectlombok__lombok-3042,SC
redis__redis-10068,No Misalignment
briannesbitt__carbon-3073,No Misalignment
fmtlib__fmt-3272,No Misalignment
google__gson-2024,No Misalignment
preactjs__preact-2896,No Misalignment
projectlombok__lombok-3215,No Misalignment
rubocop__rubocop-13362,SC
sharkdp__bat-1892,No Misalignment
sharkdp__bat-562,No Misalignment
tokio-rs__axum-1119,SC
vuejs__core-11739,No Misalignment
apache__lucene-12212,No Misalignment
axios__axios-4738,No Misalignment
axios__axios-5085,SC
babel__babel-16130,No Misalignment
caddyserver__caddy-6115,IS
fastlane__fastlane-20958,No Misalignment
fluent__fluentd-4655,No Misalignment
fmtlib__fmt-1683,No Misalignment
fmtlib__fmt-3248,No Misalignment
gin-gonic__gin-2755,DP
gohugoio__hugo-12204,No Misalignment
google__gson-2311,No Misalignment
immutable-js__immutable-js-2006,No Misalignment
